Internnr;Registreringsnummer;Selskap;Unntak
3001;EB 75753;Tide;true
3002;EB 75754;Tide;true
3003;EB 75755;Tide;true
3004;EB 75756;Tide;true
3005;EB 75757;Tide;true
3006;EB 75758;Tide;true
3007;EB 75759;Tide;true
3008;EB 75760;Tide;true
3009;EB 84388;Tide;true
3010;EB 84389;Tide;true
3101;EB 75692;Tide;true
3102;EB 75683;Tide;true
3103;EB 50861;Tide;true
3104;EB 50862;Tide;true
3105;EB 75685;Tide;true
3106;EB 50864;Tide;true
3107;EB 50865;Tide;true
3108;EB 50863;Tide;true
3109;EB 75674;Tide;true
3110;EB 75690;Tide;true
3111;EB 75688;Tide;true
3112;EB 75689;Tide;true
3113;EB 75676;Tide;true
3114;EB 50869;Tide;true
3115;EB 50866;Tide;true
3116;EB 75673;Tide;true
3117;EB 75671;Tide;true
3118;EB 75681;Tide;true
3119;EB 75687;Tide;true
3120;EB 75672;Tide;true
3121;EB 75680;Tide;true
3122;EB 75684;Tide;true
3123;EB 75677;Tide;true
3124;EB 75678;Tide;true
3125;EB 75686;Tide;true
3126;EB 75675;Tide;true
3127;EB 50868;Tide;true
3128;EB 75682;Tide;true
3129;EB 75691;Tide;true
3130;EB 75679;Tide;true
3131;EB 75711;Tide;true
3132;EB 75712;Tide;true
3133;EB 75713;Tide;true
3134;EB 75715;Tide;true
3135;EB 75714;Tide;true
3136;EB 75710;Tide;true
3137;EB 75695;Tide;true
3138;EB 75707;Tide;true
3139;EB 75706;Tide;true
3140;EB 75708;Tide;true
3141;EB 75727;Tide;true
3142;EB 75701;Tide;true
3143;EB 75694;Tide;true
3144;EB 75702;Tide;true
3145;EB 75700;Tide;true
3146;EB 75726;Tide;true
3147;EB 75721;Tide;true
3148;EB 75699;Tide;true
3149;EB 75704;Tide;true
3150;EB 75703;Tide;true
3151;EB 75693;Tide;true
3152;EB 75698;Tide;true
3153;EB 75718;Tide;true
3154;EB 75720;Tide;true
3155;EB 75696;Tide;true
3156;EB 75717;Tide;true
3157;EB 75729;Tide;true
3158;EB 75709;Tide;true
3159;EB 75697;Tide;true
3160;EB 75730;Tide;true
3161;EB 75722;Tide;true
3162;EB 75723;Tide;true
3163;EB 75731;Tide;true
3164;EB 75705;Tide;true
3165;EB 75724;Tide;true
3166;EB 75719;Tide;true
3167;EB 75725;Tide;true
3168;EB 75735;Tide;true
3169;EB 75737;Tide;true
3170;EB 75716;Tide;true
3171;EB 75734;Tide;true
3172;EB 75750;Tide;true
3173;EB 75749;Tide;true
3174;EB 75747;Tide;true
3175;EB 75736;Tide;true
3176;EB 75728;Tide;true
3177;EB 75743;Tide;true
3178;EB 75741;Tide;true
3179;EB 75739;Tide;true
3180;EB 75745;Tide;true
3181;EB 75732;Tide;true
3182;EB 75742;Tide;true
3183;EB 75733;Tide;true
3184;EB 75738;Tide;true
3185;EB 75740;Tide;true
3186;EB 75744;Tide;true
3187;EB 75748;Tide;true
3188;EB 75746;Tide;true
3301;SX 16811;Tide;true
3302;SX 16817;Tide;true
3303;SX 16838;Tide;true
3401;SX 16810;Tide;true
3402;SX 16812;Tide;true
3403;SX 16809;Tide;true
3404;SX 16818;Tide;true
3405;SX 16819;Tide;true
3406;SX 16820;Tide;true
3407;SX 16821;Tide;true
3408;SX 16822;Tide;true
3409;SX 16823;Tide;true
3410;SX 16824;Tide;true
3411;SX 16825;Tide;true
3412;SX 16826;Tide;true
3413;SX 16827;Tide;true
3414;SX 16828;Tide;true
3415;SX 16829;Tide;true
3416;SX 16830;Tide;true
3417;SX 16831;Tide;true
3418;SX 16832;Tide;true
3419;SX 16833;Tide;true
3420;SX 16834;Tide;true
3421;SX 16835;Tide;true
3422;SX 16836;Tide;true
3423;SX 16837;Tide;true
3501;EC 11940;Tide;true
3502;EC 11939;Tide;true
3503;EC 11938;Tide;true
3504;EC 11937;Tide;true
3505;EC 11941;Tide;true
3506;EC 11936;Tide;true
3507;EC 11942;Tide;true
3508;EB 84411;Tide;true
3509;EB 84412;Tide;true
3510;EC 11931;Tide;true
3511;EC 11932;Tide;true
3512;EC 11933;Tide;true
3513;EC 11934;Tide;true
3514;EC 11935;Tide;true
3515;EE 16795;Tide;true
3601;EB 90665;Tide;true
3606;EB 90663;Tide;true
3608;EB 90660;Tide;true
3612;EC 50316;Tide;true
3613;EC 50314;Tide;true
3614;EC 50317;Tide;true
Klar 1;EB 78024;Tide;true
Klar 2;EB 78025;Tide;true
